players,team
I Sharma,MI
JJ Bumrah,MI
HH Pandya,MI
KA Pollard,MI
RE Levi,MI
AS Yadav,MI
S Ladda,MI
MK Pandey,MI
R Dhawan,MI
F Behardien,MI
KL Rahul,MI
BCJ Cutting,MI
AP Tare,MI
Ishan Kishan,MI
HM Amla,MI
RP Singh,MI
Yuvraj Singh,MI
BB Sran,MI
SL Malinga,MI
DA Miller,MI
MJ McClenaghan,MI
Pankaj Singh,MI
DE Bollinger,MI
DJ Thornely,MI
MS Dhoni,csk
SK Raina,csk
RA Jadeja,csk
D du Preez,csk
DJ Bravo,csk
R Bishnoi,csk
DJ Thornely,csk
M Vijay,csk
KM Jadhav,csk
SR Watson,csk
Harbhajan Singh,csk
OA Shah,csk
N Saini,csk
PM Sarvesh Kumar,csk
SN Thakur,csk
Mohammad Asif,csk
Imran Tahir,csk
TL Suman,csk
Sandeep Sharma (1),csk
AT Rayudu,csk
SW Billings,csk
AS Raut,csk
I Sharma,csk
R Dravid,csk
T Kohli,rcb
AB de Villiers,rcb
YS Chahal,rcb
P Negi,rcb
M Kaif,rcb
A Singh,rcb
NM Coulter-Nile,rcb
Mohammed Shami,rcb
N Saini,rcb
MA Khote,rcb
TG Southee,rcb
J Yadav,rcb
PA Patel,rcb
RS Bopara,rcb
RP Singh,rcb
AD Nath,rcb
Shivam Sharma,rcb
DT Patil,rcb
Gurkeerat Singh,rcb
AN Ahmed,rcb
P Kumar,rcb
SE Bond,rcb
MP Stoinis,rcb
DJ Thornely,rcb
SS Iyer,dc
R Dhawan,dc
I Sharma,dc
CA Ingram,dc
HM Amla,dc
S Rana,dc
AS Raut,dc
GH Vihari,dc
C Munro,dc
A Singh,dc
T Kohli,dc
Sandeep Sharma,dc
A Mishra,dc
Z Khan,dc
PA Patel,dc
KL Rahul,dc
AS Yadav,dc
C Nanda,dc
U Kaul,dc
AR Patel,dc
CH Morris,dc
Ishan Kishan,dc
RR Pant,dc
AD Russell,kkr
SP Narine,kkr
AS Yadav,kkr
PP Chawla,kkr
RV Uthappa,kkr
S Rana,kkr
Umar Gul,kkr
A Singh,kkr
CA Lynn,kkr
Y Nagar,kkr
Shivam Sharma,kkr
M Kartik,kkr
NS Naik,kkr
JP Duminy,kkr
A Mukund,kkr
RR Raje,kkr
RJ Quiney,kkr
CJ Ferguson,kkr
CR Brathwaite,kkr
WP Saha,kkr
DJ Thornely,kkr
GC Smith,RR
AM Rahane,RR
DS Kulkarni,RR
UA Birla,RR
KL Rahul,RR
STR Binny,RR
R Rampaul,RR
JD Unadkat,RR
S Chanderpaul,RR
S Gopal,RR
J Botha,RR
AP Tare,RR
S Sohal,RR
JC Buttler,RR
A Chopra,RR
SV Samson,RR
RP Singh,RR
RS Bopara,RR
M Klinger,RR
M Vohra,RR
S Rana,RR
SN Thakur,RR
VR Aaron,RR
AC Thomas,RR
RS Sodhi,RR
DA Miller,kixp
MA Agarwal,kixp
KK Nair,kixp
CH Gayle,kixp
DW Steyn,kixp
AM Rahane,kixp
R Ashwin,kixp
AS Rajpoot,kixp
KL Rahul,kixp
RP Singh,kixp
Z Khan,kixp
S Rana,kixp
Harpreet Singh,kixp
MC Henriques,kixp
H Das,kixp
KB Arun Karthik,kixp
Mohammed Shami,kixp
OA Shah,kixp
Mandeep Singh,kixp
DJ Thornely,kixp
DA Warner,srh
P Kumar,srh
Z Khan,srh
DJ Hooda,srh
R Bhatia,srh
MK Pandey,srh
KS Williamson,srh
IK Pathan,srh
Shakib Al Hasan,srh
S Rana,srh
Sandeep Sharma,srh
AN Ahmed,srh
U Kaul,srh
T Kohli,srh
Bipul Sharma,srh
Mohammad Asif,srh
SP Goswami,srh
WP Saha,srh
MJ Guptill,srh
RG Sharma,srh
M Vijay,srh
S Nadeem,srh
TR Birt,srh
DJ Thornely,srh
